pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,pos2_person_id,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pos1_person_id,pos2_person_id,pos3_person_id,pos4_person_id,pos5_person_id,pos6_person_id,pos7_person_id,pos8_person_id,pos9_person_id,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number
FF,2017-09-24,90.3,-2.0594,6.6277,Lucas Giolito,456715,608337,null,called_strike,,,,,5,null,R,R,R,CWS,KC,S,null,null,1,0,2017,-0.9495,1.4042,0.0014,2.6173,null,null,null,0,6,Top,null,null,,,607345,,170924_194500,,,,,,,3.7505,1.7763,null,null,null,91.116,2063,6.696,492423,608337,607345,571602,660162,570560,641313,547170,641553,593700,53.8026,0,0,null,null,null,null,null,42,2
SL,2017-09-24,79.9,-2.2044,6.7521,Lucas Giolito,456715,608337,null,ball,,,,,12,null,R,R,R,CWS,KC,B,null,null,0,0,2017,-0.0298,-0.2714,0.7206,4.8487,null,null,null,0,6,Top,null,null,,,607345,,170924_194444,,,,,,,3.589,1.6628,null,null,null,79.897,2016,6.175,492423,608337,607345,571602,660162,570560,641313,547170,641553,593700,54.3241,0,0,null,null,null,null,null,42,1
FF,2017-09-24,92,-2.3204,6.5859,Lucas Giolito,593160,608337,field_out,hit_into_play,,,,,8,"Whit Merrifield grounds out, shortstop Tim Anderson to first baseman Matt Davidson.  ",R,R,R,CWS,KC,X,6,ground_ball,2,1,2017,-0.9173,1.5029,0.1475,1.8587,null,null,596144,2,5,Top,112.35,152.93,,,607345,,170924_192836,,,,,,,3.2973,1.3883,8,89.2,-12.234,92.283,2053,6.712,492423,608337,607345,571602,660162,570560,641313,547170,641553,593700,53.787,0.155,0.144,0,1,0,0,2,36,4
CH,2017-09-24,80.4,-2.325,6.6077,Lucas Giolito,593160,608337,null,called_strike,,,,,2,null,R,R,R,CWS,KC,S,null,null,2,0,2017,-0.5687,0.7456,-0.0976,3.2785,null,null,596144,2,5,Top,null,null,,,607345,,170924_192806,,,,,,,3.4815,1.6835,null,null,null,81.34,1519,6.767,492423,608337,607345,571602,660162,570560,641313,547170,641553,593700,53.732,0,0,null,null,null,null,null,36,3
SL,2017-09-24,83.8,-2.5138,6.5814,Lucas Giolito,593160,608337,null,ball,,,,,12,null,R,R,R,CWS,KC,B,null,null,1,0,2017,0.1551,0.0393,0.0158,4.0121,null,null,596144,2,5,Top,null,null,,,607345,,170924_192738,,,,,,,3.5042,1.6835,null,null,null,84.095,2016,6.149,492423,608337,607345,571602,660162,570560,641313,547170,641553,593700,54.3502,0,0,null,null,null,null,null,36,2
FF,2017-09-24,91.8,-2.2131,6.6827,Lucas Giolito,593160,608337,null,ball,,,,,14,null,R,R,R,CWS,KC,B,null,null,0,0,2017,-0.9183,1.4272,0.0825,1.0384,null,null,596144,2,5,Top,null,null,,,607345,,170924_192714,,,,,,,3.4815,1.6608,null,null,null,91.888,2019,6.606,492423,608337,607345,571602,660162,570560,641313,547170,641553,593700,53.8924,0,0,null,null,null,null,null,36,1
SL,2017-09-24,83.2,-2.5418,6.5875,Lucas Giolito,460086,608337,strikeout,called_strike,,,,,11,Alex Gordon called out on strikes.  ,R,L,R,CWS,KC,S,null,null,0,2,2017,-0.0762,-0.1986,-0.2283,3.6541,null,null,596144,1,5,Top,null,null,,,607345,,170924_192635,,,,,,,3.2171,1.5499,null,null,null,82.616,null,5.962,492423,608337,607345,571602,660162,570560,641313,547170,641553,593700,54.5365,0,0,0,1,0,0,null,35,3
FT,2017-09-24,92.1,-2.1938,6.7231,Lucas Giolito,460086,608337,null,swinging_strike,,,,,11,null,R,L,R,CWS,KC,S,null,null,0,1,2017,-1.4355,1.292,-1.0413,3.7918,null,null,596144,1,5,Top,null,null,,,607345,,170924_192606,,,,,,,3.1263,1.3581,null,null,null,92.897,2066,6.52,492423,608337,607345,571602,660162,570560,641313,547170,641553,593700,53.9789,0,0,null,null,null,null,null,35,2
FF,2017-09-24,91.4,-2.3306,6.7023,Lucas Giolito,460086,608337,null,called_strike,,,,,2,null,R,L,R,CWS,KC,S,null,null,0,0,2017,-0.8677,1.417,0.177,3.0622,null,null,596144,1,5,Top,null,null,,,607345,,170924_192544,,,,,,,3.2363,1.5464,null,null,null,91.736,2057,6.551,492423,608337,607345,571602,660162,570560,641313,547170,641553,593700,53.9482,0,0,null,null,null,null,null,35,1
FF,2017-09-24,92,-2.3362,6.6416,Lucas Giolito,596144,608337,single,hit_into_play_no_out,,,,,6,Cheslor Cuthbert singles on a line drive to center fielder Adam Engel.  ,R,R,R,CWS,KC,X,null,line_drive,0,0,2017,-0.9435,1.1293,0.434,2.4453,null,null,null,1,5,Top,133.67,106.14,,,607345,,170924_192453,,,,,,,3.1264,1.2677,235,101.8,7.52,92.561,2074,6.482,492423,608337,607345,571602,660162,570560,641313,547170,641553,593700,54.0168,0.736,0.703,0.9,1,1,0,4,34,1
