"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number"
"FF","2017-09-27","97.5","-2.3427","5.6922","Reynaldo Lopez",545361,625643,"null","ball",,,,,"11","null","R","R","R","CWS","LAA","B","null","null",0,2,2017,"-1.0297","1.3888","-1.1202","3.9697","null","null","null",2,5,"Top","null","null",,,553882,,"170928_015738",,,,,,,"3.8797","1.8204","null","null","null","98.0530","2146","6.5310",492465,625643,553882,547989,660162,573135,641313,547170,641553,591994,"53.9673","0.000","0.000","null","null","null","null","null",39,"3"
"FF","2017-09-27","96.9","-2.3840","5.7615","Reynaldo Lopez",545361,625643,"null","foul",,,,,"1","null","R","R","R","CWS","LAA","S","null","null",0,1,2017,"-1.1548","1.5914","-0.8104","2.8948","null","null","null",2,5,"Top","null","null",,,553882,,"170928_015720",,,,,,,"3.3883","1.4693","184","67.2","36.6523","96.7490","2132","6.4160",492465,625643,553882,547989,660162,573135,641313,547170,641553,591994,"54.0827","0.000","0.000","null","null","null","null",4,39,"2"
"FF","2017-09-27","97.4","-2.4343","5.7624","Reynaldo Lopez",545361,625643,"null","called_strike",,,,,"5","null","R","R","R","CWS","LAA","S","null","null",0,0,2017,"-1.2299","1.0571","0.1872","3.0992","null","null","null",2,5,"Top","null","null",,,553882,,"170928_015659",,,,,,,"3.8663","1.8204","null","null","null","97.4340","2148","6.3480",492465,625643,553882,547989,660162,573135,641313,547170,641553,591994,"54.1510","0.000","0.000","null","null","null","null","null",39,"1"
"CH","2017-09-27","82.9","-2.5592","6.0606","Reynaldo Lopez",594777,625643,"home_run","hit_into_play_score",,,,,"5","Kole Calhoun homers (18) on a fly ball to center field.  J.   Cron scores.    Martin Maldonado scores.  ","R","L","R","CWS","LAA","X","null","fly_ball",1,0,2017,"-1.3811","0.8231","-0.0715","1.9496","null","543068.00","455117.00",2,5,"Top","116.45","21.99",,,553882,,"170928_015610",,,,,,,"2.9558","1.2882","418","105.3","24.6460","82.0730","1336","5.9900",492465,625643,553882,547989,660162,573135,641313,547170,641553,591994,"54.5084","0.919","1.720","2.00",1,0,3,6,38,"2"
"FF","2017-09-27","94.7","-2.5988","5.8163","Reynaldo Lopez",594777,625643,"null","ball",,,,,"11","null","R","L","R","CWS","LAA","B","null","null",0,0,2017,"-0.7907","1.5054","-2.4242","5.3097","null","543068.00","455117.00",2,5,"Top","null","null",,,553882,,"170928_015533",,,,,,,"3.3702","1.5724","null","null","null","94.2150","2040","6.1470",492465,625643,553882,547989,660162,573135,641313,547170,641553,591994,"54.3519","0.000","0.000","null","null","null","null","null",38,"1"
"CU","2017-09-27","80.2","-2.4954","5.9551","Reynaldo Lopez",455117,625643,"single","hit_into_play_no_out",,,,,"5","Martin Maldonado singles on a line drive to left fielder Nicky Delmonico.   C.  J.   Cron to 2nd.  ","R","R","R","CWS","LAA","X","null","line_drive",2,2,2017,"-0.0270","0.2530","0.2211","2.1156","null","null","543068.00",2,5,"Top","101.21","114.16",,,553882,,"170928_015438",,,,,,,"3.2474","1.2982","211","68.3","23.5950","79.7370","2224","6.0380",492465,625643,553882,547989,660162,573135,641313,547170,641553,591994,"54.4605","0.956","0.874","0.90",1,1,0,4,37,"5"
"FF","2017-09-27","95.4","-2.3528","5.8898","Reynaldo Lopez",455117,625643,"null","foul",,,,,"6","null","R","R","R","CWS","LAA","S","null","null",2,1,2017,"-0.8043","1.4355","0.2788","2.4872","null","null","543068.00",2,5,"Top","null","null",,,553882,,"170928_015334",,,,,,,"3.2474","1.2982","193","73.6","29.4403","95.3620","2169","6.5170",492465,625643,553882,547989,660162,573135,641313,547170,641553,591994,"53.9819","0.000","0.000","null","null","null","null",4,37,"4"
"CH","2017-09-27","84.7","-2.4372","6.1064","Reynaldo Lopez",455117,625643,"null","ball",,,,,"11","null","R","R","R","CWS","LAA","B","null","null",1,1,2017,"-1.3778","0.9172","-1.3891","3.1941","null","null","543068.00",2,5,"Top","null","null",,,553882,,"170928_015306",,,,,,,"3.5551","1.5625","null","null","null","84.1640","1521","6.1530",492465,625643,553882,547989,660162,573135,641313,547170,641553,591994,"54.3454","0.000","0.000","null","null","null","null","null",37,"3"
"FF","2017-09-27","96.0","-2.5810","5.7132","Reynaldo Lopez",455117,625643,"null","ball",,,,,"12","null","R","R","R","CWS","LAA","B","null","null",0,1,2017,"-0.8793","1.3161","2.1711","2.8492","null","null","543068.00",2,5,"Top","null","null",,,553882,,"170928_015217",,,,,,,"3.6253","1.5391","null","null","null","95.7040","2121","6.5120",492465,625643,553882,547989,660162,573135,641313,547170,641553,591994,"53.9862","0.000","0.000","null","null","null","null","null",37,"2"
"FF","2017-09-27","95.0","-2.3647","5.8266","Reynaldo Lopez",455117,625643,"null","called_strike",,,,,"2","null","R","R","R","CWS","LAA","S","null","null",0,0,2017,"-0.9109","1.5779","-0.2133","3.1424","null","null","543068.00",2,5,"Top","null","null",,,553882,,"170928_015147",,,,,,,"3.5919","1.5859","null","null","null","94.8920","2192","6.4290",492465,625643,553882,547989,660162,573135,641313,547170,641553,591994,"54.0695","0.000","0.000","null","null","null","null","null",37,"1"
"CU","2017-09-27","81.0","-2.4878","5.7905","Reynaldo Lopez",543068,625643,"hit_by_pitch","hit_by_pitch",,,,,"11","C.  J.   Cron hit by pitch.  ","R","R","R","CWS","LAA","B","null","null",1,2,2017,"0.3407","-0.4164","-1.9202","3.3243","null","null","null",2,5,"Top","null","null",,,553882,,"170928_015101",,,,,,,"3.3883","1.3988","null","null","null","80.5410","2173","5.9690",492465,625643,553882,547989,660162,573135,641313,547170,641553,591994,"54.5297","0.000","0.000","0.70",1,0,0,"null",36,"4"
"FF","2017-09-27","88.4","-2.6167","5.8633","Reynaldo Lopez",543068,625643,"null","foul",,,,,"2","null","R","R","R","CWS","LAA","S","null","null",1,1,2017,"-0.3761","1.2590","-0.0536","2.8160","null","null","null",2,5,"Top","null","null",,,553882,,"170928_015041",,,,,,,"3.3782","1.3988","208","73.7","42.7535","88.1660","2154","6.1400",492465,625643,553882,547989,660162,573135,641313,547170,641553,591994,"54.3588","0.000","0.000","null","null","null","null",3,36,"3"
"FF","2017-09-27","95.7","-2.4442","5.7263","Reynaldo Lopez",543068,625643,"null","called_strike",,,,,"3","null","R","R","R","CWS","LAA","S","null","null",1,0,2017,"-1.0433","1.2775","0.4628","3.4872","null","null","null",2,5,"Top","null","null",,,553882,,"170928_015025",,,,,,,"3.8897","1.7132","null","null","null","95.7070","2189","6.4610",492465,625643,553882,547989,660162,573135,641313,547170,641553,591994,"54.0378","0.000","0.000","null","null","null","null","null",36,"2"
"FF","2017-09-27","96.7","-2.4063","5.8287","Reynaldo Lopez",543068,625643,"null","ball",,,,,"12","null","R","R","R","CWS","LAA","B","null","null",0,0,2017,"-0.6342","1.3750","1.0797","3.8732","null","null","null",2,5,"Top","null","null",,,553882,,"170928_015010",,,,,,,"3.9030","1.7266","null","null","null","96.6810","2310","6.4800",492465,625643,553882,547989,660162,573135,641313,547170,641553,591994,"54.0191","0.000","0.000","null","null","null","null","null",36,"1"
"FF","2017-09-27","95.9","-2.4508","5.6978","Reynaldo Lopez",472528,625643,"field_out","hit_into_play",,,,,"3","Luis Valbuena flies out to center fielder Adam Engel.  ","R","L","R","CWS","LAA","X","8","fly_ball",1,1,2017,"-0.9646","0.9897","0.6751","2.7935","null","null","null",1,5,"Top","142.32","103.35",,,553882,,"170928_014932",,,,,,,"3.1569","1.4089","234","68.6","32.7140","96.2960","2162","6.6380",492465,625643,553882,547989,660162,573135,641313,547170,641553,591994,"53.8604","0.660","0.617","0.00",1,0,0,4,35,"3"
"FF","2017-09-27","96.5","-2.3815","5.8627","Reynaldo Lopez",472528,625643,"null","called_strike",,,,,"4","null","R","L","R","CWS","LAA","S","null","null",1,0,2017,"-1.1808","1.4536","-0.8266","2.3998","null","null","null",1,5,"Top","null","null",,,553882,,"170928_014912",,,,,,,"3.5313","1.7600","null","null","null","96.3110","2093","6.4660",492465,625643,553882,547989,660162,573135,641313,547170,641553,591994,"54.0323","0.000","0.000","null","null","null","null","null",35,"2"
"CU","2017-09-27","81.4","-2.5858","5.8215","Reynaldo Lopez",472528,625643,"null","ball",,,,,"13","null","R","L","R","CWS","LAA","B","null","null",0,0,2017,"-0.0896","0.0025","-1.0054","1.4869","null","null","null",1,5,"Top","null","null",,,553882,,"170928_014857",,,,,,,"3.4578","1.5828","null","null","null","80.7460","2278","5.9350",492465,625643,553882,547989,660162,573135,641313,547170,641553,591994,"54.5636","0.000","0.000","null","null","null","null","null",35,"1"
