pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,pos2_person_id,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pos1_person_id,pos2_person_id,pos3_person_id,pos4_person_id,pos5_person_id,pos6_person_id,pos7_person_id,pos8_person_id,pos9_person_id,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number
FF,2017-09-27,95,-2.3647,5.8266,Reynaldo Lopez,455117,625643,null,called_strike,,,,,2,null,R,R,R,CWS,LAA,S,null,null,0,0,2017,-0.9109,1.5779,-0.2133,3.1424,null,null,543068,2,5,Top,null,null,,,553882,,170928_015147,,,,,,,3.5919,1.5859,null,null,null,94.892,2192,6.429,492465,625643,553882,547989,660162,573135,641313,547170,641553,591994,54.0695,0,0,null,null,null,null,null,37,1
CU,2017-09-27,81,-2.4878,5.7905,Reynaldo Lopez,543068,625643,hit_by_pitch,hit_by_pitch,,,,,11,C.  J.   Cron hit by pitch.  ,R,R,R,CWS,LAA,B,null,null,1,2,2017,0.3407,-0.4164,-1.9202,3.3243,null,null,null,2,5,Top,null,null,,,553882,,170928_015101,,,,,,,3.3883,1.3988,null,null,null,80.541,2173,5.969,492465,625643,553882,547989,660162,573135,641313,547170,641553,591994,54.5297,0,0,0.7,1,0,0,null,36,4
FF,2017-09-27,88.4,-2.6167,5.8633,Reynaldo Lopez,543068,625643,null,foul,,,,,2,null,R,R,R,CWS,LAA,S,null,null,1,1,2017,-0.3761,1.259,-0.0536,2.816,null,null,null,2,5,Top,null,null,,,553882,,170928_015041,,,,,,,3.3782,1.3988,208,73.7,42.7535,88.166,2154,6.14,492465,625643,553882,547989,660162,573135,641313,547170,641553,591994,54.3588,0,0,null,null,null,null,3,36,3
FF,2017-09-27,95.7,-2.4442,5.7263,Reynaldo Lopez,543068,625643,null,called_strike,,,,,3,null,R,R,R,CWS,LAA,S,null,null,1,0,2017,-1.0433,1.2775,0.4628,3.4872,null,null,null,2,5,Top,null,null,,,553882,,170928_015025,,,,,,,3.8897,1.7132,null,null,null,95.707,2189,6.461,492465,625643,553882,547989,660162,573135,641313,547170,641553,591994,54.0378,0,0,null,null,null,null,null,36,2
FF,2017-09-27,96.7,-2.4063,5.8287,Reynaldo Lopez,543068,625643,null,ball,,,,,12,null,R,R,R,CWS,LAA,B,null,null,0,0,2017,-0.6342,1.375,1.0797,3.8732,null,null,null,2,5,Top,null,null,,,553882,,170928_015010,,,,,,,3.903,1.7266,null,null,null,96.681,2310,6.48,492465,625643,553882,547989,660162,573135,641313,547170,641553,591994,54.0191,0,0,null,null,null,null,null,36,1
FF,2017-09-27,95.9,-2.4508,5.6978,Reynaldo Lopez,472528,625643,field_out,hit_into_play,,,,,3,Luis Valbuena flies out to center fielder Adam Engel.  ,R,L,R,CWS,LAA,X,8,fly_ball,1,1,2017,-0.9646,0.9897,0.6751,2.7935,null,null,null,1,5,Top,142.32,103.35,,,553882,,170928_014932,,,,,,,3.1569,1.4089,234,68.6,32.714,96.296,2162,6.638,492465,625643,553882,547989,660162,573135,641313,547170,641553,591994,53.8604,0.66,0.617,0,1,0,0,4,35,3
FF,2017-09-27,96.5,-2.3815,5.8627,Reynaldo Lopez,472528,625643,null,called_strike,,,,,4,null,R,L,R,CWS,LAA,S,null,null,1,0,2017,-1.1808,1.4536,-0.8266,2.3998,null,null,null,1,5,Top,null,null,,,553882,,170928_014912,,,,,,,3.5313,1.76,null,null,null,96.311,2093,6.466,492465,625643,553882,547989,660162,573135,641313,547170,641553,591994,54.0323,0,0,null,null,null,null,null,35,2
CU,2017-09-27,81.4,-2.5858,5.8215,Reynaldo Lopez,472528,625643,null,ball,,,,,13,null,R,L,R,CWS,LAA,B,null,null,0,0,2017,-0.0896,0.0025,-1.0054,1.4869,null,null,null,1,5,Top,null,null,,,553882,,170928_014857,,,,,,,3.4578,1.5828,null,null,null,80.746,2278,5.935,492465,625643,553882,547989,660162,573135,641313,547170,641553,591994,54.5636,0,0,null,null,null,null,null,35,1
FF,2017-09-27,96.5,-2.4657,5.8251,Reynaldo Lopez,592743,625643,strikeout,swinging_strike,,,,,11,Andrelton Simmons strikes out swinging.  ,R,R,R,CWS,LAA,S,null,null,2,2,2017,-1.1802,1.1371,-1.1686,4.0785,null,null,null,0,5,Top,null,null,,,553882,,170928_014826,,,,,,,3.3883,1.4592,null,null,null,96.344,2190,6.272,492465,625643,553882,547989,660162,573135,641313,547170,641553,591994,54.2271,0,0,0,1,0,0,null,34,5
FF,2017-09-27,95.7,-2.4685,5.7638,Reynaldo Lopez,592743,625643,null,called_strike,,,,,4,null,R,R,R,CWS,LAA,S,null,null,2,1,2017,-1.1965,1.2884,-0.8164,2.7227,null,null,null,0,5,Top,null,null,,,553882,,170928_014744,,,,,,,3.6791,1.7033,null,null,null,95.228,2146,6.192,492465,625643,553882,547989,660162,573135,641313,547170,641553,591994,54.3068,0,0,null,null,null,null,null,34,4
